# not necessarily q              
CI*   1279.8907 0.0143    1.17e8 
CI*   1280.4043 0.00440   1.06e8 
CI*   1280.5975 0.00704   1.05e8 
CI**  1280.3331 0.0152    1.17e8 
CI**  1280.8471 0.00522   1.06e8 
CI*   1287.6076 6.03E-5   1.46E5 
CI**  1288.0553 2.01e-5   8.09E4 
CI    1328.8333 0.075800  2.880E8
CI*   1329.0849 0.0254    2.89e8 
CI*   1329.1004 0.0313    2.87e8 
CI*   1329.1233 0.0191    2.88e8 
CI**  1329.5775 0.0569    2.87e8 
CI**  1329.6004 0.0189    2.88e8 
CI    1560.3092 0.077400  1.270e8
CI*   1560.6820 0.058100  1.270E8
CI*   1560.7089 0.019300  1.270E8
CI**  1561.3399 0.011600  1.270E8
CI**  1561.3668 0.000772  1.270E8
CI**  1561.4378 0.064900  1.270E8
CI    1656.9284 0.149000  3.600e8
CI*   1656.2672 0.062100  3.610e8
CI*   1657.3792 0.037100  3.600E8
CI*   1657.9071 0.049400  3.600E8
CI**  1657.0081 0.111000  3.610E8
CI**  1658.1211 0.037100  3.610e8
CII   1334.5323 0.127800  2.880e8
CII   1036.3367 0.118000  2.200e9
CII    903.9616 0.336     1.0e8
CII    903.6235 0.168     1.0e8
CII    858.0918 0.013     1.0e8
CII    687.0526 0.336     1.0e8
CII    594.800  0.118     1.0e8
CII    560.239  0.0570    1.0e8
CII    549.379  0.0121    1.0e8
CII    543.258  0.0350    1.0e8
CII    530.275  0.0361    1.0e8
CII*  1335.7077 0.115000  2.880e8
CII*  1335.6627 0.012770  2.880e8
CII*  1037.0182 0.118000  2.200e9
CIII   977.0201 0.757000  1.760E9
CIV   1548.2049 0.189900  2.642E8
CIV   1550.77845 0.094750 2.628E8
NI    1200.7098 0.0432     4.00e8
NI    1200.2233 0.0869     4.02e8
NI    1199.5496 0.1320     4.07e8
NI    1134.9803 0.0416     1.44e8
NI    1134.4149 0.0278     1.49e8
NI    1134.1653 0.0146     1.51e8
NI    965.0413 3.86E-3     8.16e7
NI    964.6256 7.90e-3     8.31e7
NI    963.9903 1.24e-2     8.55e7
NI    954.1042 4.00e-3     1.41e8
NI    953.9699 3.31e-2     2.03e8
NI    953.6549 2.47e-2     2.10e8
NI    953.4152 1.29e-2     2.19e8
NII  1083.9937 0.111       3.74e8
NII   915.6131 0.159       1.27e9
NII   671.411  0.0689      1.00e8
NII   670.296  0.00767     1.00e8
NII   644.634  0.222       1.00e8
NII   533.511  0.315       1.00e8
NII   529.355  0.0904      1.0e8
NII   508.668  0.00983     1.00e8
NIII  989.799  0.123       5.00e8
NIII  763.336  0.0837      1.0e8
NIII  684.996  0.135       1.0e8
NIII  685.515  0.270       1.0e8
NIV   765.147  0.611       1.0e8
NIV   569.045  0.114       1.0e8
#NIV   529.43   0.000       1.0e8
NV   1238.821  0.1560     3.391e8
NV   1242.804  0.0770     3.356e8
OI   1355.5977 1.16e-6     5.56E3
OI   1302.1685 0.048000   5.650e8
OI   1039.2304 0.00907     1.87E8
OI   1026.4757 8.71e-8     4.58E7
OI   1025.7616 0.0163      1.02E8
OI    988.7734 0.0465      2.26E8
OI    988.6549 0.0083      5.66E7
OI    988.5778 0.000553    6.29E6
